personnel_id,deployment_type,continuous_duty_days,leave_days_taken_last_90d,leave_days_due,transfers_last_2yrs,overtime_hours_last_30d,self_assessment_score,sleep_hours_band,resting_hr_band,ground_truth_composite_score,elevated_welfare_risk
CRP-1378,high_stress,36,5,29,3,74,-1,5-7h,normal,0.687,1
CRP-1379,home_station,3,9,20,0,25,22,5-7h,normal,0.035,0
CRP-1380,field,41,9,24,2,33,21,5-7h,normal,0.425,0
CRP-1381,high_stress,14,5,35,1,51,25,5-7h,elevated,0.448,0
CRP-1382,high_stress,14,0,27,4,63,19,5-7h,high,0.581,1
CRP-1383,field,32,5,9,1,39,24,5-7h,normal,0.282,0
CRP-1384,field,7,7,14,2,51,-1,>7h,normal,0.335,0
CRP-1385,high_stress,18,2,30,2,50,17,>7h,elevated,0.585,1
CRP-1386,high_stress,57,2,36,4,42,15,5-7h,elevated,0.781,1
CRP-1387,home_station,3,13,11,0,13,24,>7h,elevated,0.04,0
CRP-1388,high_stress,14,3,42,2,68,17,<5h,high,0.679,1
CRP-1389,field,47,2,16,2,18,-1,<5h,elevated,0.586,1
CRP-1390,field,44,7,26,0,40,20,5-7h,elevated,0.47,0
CRP-1391,field,54,6,28,0,52,15,5-7h,elevated,0.633,1
CRP-1392,home_station,1,13,10,0,4,20,5-7h,elevated,0.146,0
CRP-1393,home_station,40,21,9,0,14,14,>7h,normal,0.221,0
CRP-1394,high_stress,41,0,10,1,56,21,5-7h,high,0.575,1
CRP-1395,home_station,1,11,8,0,4,22,<5h,normal,0.037,0
CRP-1396,field,66,3,18,1,20,12,5-7h,normal,0.621,1
CRP-1397,home_station,5,10,10,1,31,-1,<5h,elevated,0.277,0
CRP-1398,field,75,5,13,1,44,-1,5-7h,normal,0.612,1
CRP-1399,home_station,5,17,13,0,10,-1,<5h,normal,0.12,0
CRP-1400,home_station,2,8,1,0,18,17,<5h,high,0.136,0
CRP-1401,home_station,3,7,4,0,11,24,<5h,normal,0.021,0
CRP-1402,home_station,31,17,12,0,11,-1,<5h,normal,0.268,0
CRP-1403,home_station,3,12,3,0,2,21,5-7h,normal,-0.015,0
CRP-1404,high_stress,53,1,36,2,51,13,<5h,elevated,0.838,1
CRP-1405,home_station,4,11,8,2,17,21,5-7h,normal,0.131,0
CRP-1406,home_station,27,16,12,0,5,18,5-7h,normal,0.195,0
CRP-1407,field,5,7,15,0,26,25,5-7h,elevated,0.195,0
CRP-1408,home_station,6,9,12,0,12,25,<5h,normal,0.039,0
CRP-1409,field,6,5,14,0,32,21,<5h,normal,0.22,0
CRP-1410,high_stress,14,3,48,3,78,24,<5h,high,0.652,1
CRP-1411,high_stress,16,0,41,1,58,14,5-7h,elevated,0.599,1
CRP-1412,field,10,5,24,1,43,19,>7h,elevated,0.337,0
CRP-1413,high_stress,18,0,45,3,65,-1,<5h,normal,0.753,1
CRP-1414,field,34,3,30,0,18,-1,5-7h,normal,0.425,0
CRP-1415,field,6,3,19,1,41,-1,5-7h,elevated,0.349,0
CRP-1416,home_station,2,5,14,0,18,25,5-7h,elevated,0.098,0
CRP-1417,high_stress,34,5,18,1,70,14,<5h,elevated,0.686,1
CRP-1418,high_stress,14,4,37,1,61,20,<5h,elevated,0.554,1
CRP-1419,home_station,2,11,8,0,18,25,>7h,elevated,0.033,0
CRP-1420,home_station,1,15,6,0,17,25,5-7h,normal,0.006,0
CRP-1421,field,75,7,21,1,19,17,5-7h,elevated,0.73,1
CRP-1422,home_station,7,7,12,0,10,25,5-7h,normal,-0.023,0
CRP-1423,field,10,0,20,1,34,19,>7h,normal,0.324,0
CRP-1424,field,5,7,20,1,40,13,<5h,normal,0.356,0
CRP-1425,high_stress,14,3,17,3,56,17,<5h,normal,0.544,0
CRP-1426,high_stress,14,1,26,2,53,13,5-7h,normal,0.549,0
CRP-1427,field,5,10,26,0,26,25,>7h,normal,0.172,0
CRP-1428,home_station,6,11,11,0,21,25,5-7h,normal,0.007,0
CRP-1429,home_station,1,11,11,0,16,-1,5-7h,normal,0.065,0
CRP-1430,field,36,8,18,1,38,20,5-7h,normal,0.404,0
CRP-1431,field,8,6,24,1,26,20,5-7h,normal,0.252,0
CRP-1432,home_station,41,10,8,0,11,24,<5h,normal,0.259,0
CRP-1433,high_stress,14,2,40,2,56,-1,<5h,elevated,0.627,1
CRP-1434,high_stress,14,5,44,3,39,-1,5-7h,elevated,0.61,1
CRP-1435,field,8,6,30,3,45,19,>7h,normal,0.433,0
CRP-1436,high_stress,14,5,24,2,38,-1,5-7h,normal,0.525,0
CRP-1437,home_station,6,10,4,0,15,-1,5-7h,normal,0.062,0
CRP-1438,field,13,3,33,1,31,21,>7h,normal,0.333,0
CRP-1439,field,21,6,23,1,38,21,5-7h,normal,0.327,0
CRP-1440,high_stress,26,3,24,2,51,-1,5-7h,normal,0.564,1
CRP-1441,high_stress,28,2,13,3,40,17,5-7h,elevated,0.517,0
CRP-1442,home_station,4,11,9,2,18,25,>7h,normal,0.051,0
CRP-1443,home_station,12,8,7,0,14,19,5-7h,normal,0.09,0
CRP-1444,field,19,6,5,2,29,-1,5-7h,normal,0.241,0
CRP-1445,home_station,31,14,11,0,6,21,<5h,normal,0.178,0
CRP-1446,field,17,3,10,0,33,21,>7h,normal,0.222,0
CRP-1447,home_station,2,14,19,1,11,-1,5-7h,normal,0.062,0
CRP-1448,home_station,37,15,9,0,24,24,5-7h,high,0.248,0
CRP-1449,field,11,4,24,0,24,-1,5-7h,elevated,0.268,0
CRP-1450,field,10,4,25,0,14,22,5-7h,normal,0.193,0
CRP-1451,field,49,5,21,2,21,15,<5h,elevated,0.657,1
CRP-1452,field,50,8,17,3,12,17,5-7h,elevated,0.543,0
CRP-1453,field,9,4,5,0,33,21,5-7h,normal,0.175,0
CRP-1454,high_stress,14,5,41,2,58,17,5-7h,elevated,0.614,1
CRP-1455,home_station,18,10,2,0,13,-1,<5h,normal,0.215,0
CRP-1456,field,5,1,12,0,25,19,5-7h,normal,0.189,0
CRP-1457,high_stress,120,1,39,1,37,7,5-7h,high,0.974,1
CRP-1458,field,9,9,21,0,30,25,>7h,normal,0.138,0
CRP-1459,high_stress,14,6,27,2,71,-1,<5h,high,0.702,1
CRP-1460,field,8,0,17,1,37,24,5-7h,normal,0.211,0
CRP-1461,home_station,2,5,0,0,15,24,<5h,elevated,0.079,0
CRP-1462,high_stress,58,3,23,3,82,15,<5h,normal,0.851,1
CRP-1463,field,8,6,11,1,36,-1,5-7h,normal,0.209,0
CRP-1464,home_station,10,20,10,0,16,20,5-7h,normal,0.061,0
CRP-1465,high_stress,37,4,40,1,41,20,5-7h,high,0.577,1
CRP-1466,high_stress,14,1,42,3,69,-1,>7h,normal,0.647,1
CRP-1467,field,5,9,18,0,45,22,5-7h,normal,0.234,0
CRP-1468,field,15,6,24,0,26,-1,5-7h,normal,0.301,0
CRP-1469,field,28,9,27,0,25,19,<5h,normal,0.329,0
CRP-1470,home_station,11,3,7,0,20,-1,>7h,normal,0.088,0
CRP-1471,home_station,24,12,12,0,20,-1,5-7h,normal,0.184,0
CRP-1472,high_stress,34,3,27,1,47,21,<5h,normal,0.56,1
CRP-1473,field,42,2,9,1,43,21,5-7h,normal,0.383,0
CRP-1474,home_station,1,7,14,2,18,24,5-7h,elevated,0.162,0
CRP-1475,field,44,4,26,1,37,17,5-7h,normal,0.467,0
CRP-1476,home_station,6,14,12,0,10,-1,<5h,normal,0.127,0
CRP-1477,field,22,4,13,1,47,16,5-7h,normal,0.334,0
CRP-1478,high_stress,14,4,34,1,54,-1,5-7h,normal,0.516,0
CRP-1479,home_station,3,11,5,1,5,25,5-7h,elevated,0.013,0
CRP-1480,field,19,9,29,1,48,19,>7h,normal,0.368,0
CRP-1481,high_stress,120,4,23,2,38,-1,<5h,high,0.962,1
CRP-1482,high_stress,19,0,51,2,71,-1,>7h,normal,0.636,1
CRP-1483,high_stress,53,2,31,1,58,-1,<5h,high,0.818,1
CRP-1484,home_station,4,7,11,1,20,19,5-7h,normal,0.124,0
CRP-1485,high_stress,14,1,40,4,36,-1,5-7h,elevated,0.609,1
CRP-1486,home_station,16,10,6,0,13,-1,5-7h,normal,0.116,0
CRP-1487,home_station,1,15,11,1,7,23,5-7h,elevated,0.098,0
CRP-1488,home_station,4,9,10,0,16,23,>7h,normal,0.026,0
CRP-1489,high_stress,21,5,48,2,74,15,<5h,high,0.781,1
CRP-1490,home_station,7,17,7,0,5,25,<5h,normal,0.007,0
CRP-1491,field,6,11,22,0,50,23,5-7h,normal,0.241,0
CRP-1492,high_stress,44,1,10,1,33,-1,5-7h,normal,0.559,1
CRP-1493,field,62,5,31,1,32,24,<5h,elevated,0.609,1
CRP-1494,high_stress,30,4,39,1,87,15,<5h,high,0.757,1
CRP-1495,home_station,1,14,9,1,19,15,>7h,normal,0.135,0
CRP-1496,home_station,33,5,12,0,6,-1,>7h,normal,0.246,0
CRP-1497,home_station,4,13,17,0,9,21,5-7h,normal,0.011,0
CRP-1498,home_station,21,11,11,0,12,22,>7h,normal,0.105,0
CRP-1499,home_station,4,10,13,0,19,-1,5-7h,elevated,0.189,0
CRP-1500,high_stress,14,2,25,3,63,-1,<5h,high,0.732,1
